periodo;regiao;no_transportes;no_utentes;valor
2014-01;Região de Saúde do Algarve;7492.0;729.0;216530.83
2014-01;Região de Saúde do Centro;27223.0;3261.0;655964.75
2014-01;Região de Saúde LVT;61580.0;5647.0;1238035.77
2014-02;Região de Saúde do Algarve;6887.0;688.0;204451.42
2014-02;Região de Saúde do Centro;27504.0;3394.0;646707.8
2014-02;Região de Saúde LVT;59130.0;5756.0;1158635.28
2014-03;Região de Saúde do Norte;75938.0;7882.0;1271761.23999999
2014-05;Região de Saúde LVT;65710.0;6119.0;1303988.98
2014-06;Região de Saúde do Norte;79294.0;8708.0;1301521.83999999
2014-06;Região de Saúde do Alentejo;4535.0;700.0;184355.71
2014-06;Região de Saúde LVT;62825.0;6188.0;1246511.02
2014-07;Região de Saúde do Algarve;8436.0;765.0;236644.32
2014-08;Região de Saúde do Alentejo;3952.0;576.0;163006.03
2014-09;Região de Saúde do Algarve;8324.0;810.0;236928.29
2014-10;Região de Saúde do Centro;33997.0;4298.0;782709.749999999
2014-11;Região de Saúde do Norte;77997.0;8738.0;1400396.45999999
2014-12;Região de Saúde do Alentejo;4907.0;1243.0;231755.06
2014-12;Região de Saúde do Algarve;7513.0;708.0;216148.52
2015-03;Região de Saúde do Alentejo;5398.0;1451.0;227744.369999999
2015-04;Região de Saúde do Alentejo;5121.0;1322.0;212686.459999999
2015-04;Região de Saúde do Algarve;8508.0;754.0;245403.84
2015-06;Região de Saúde do Norte;86130.0;9448.0;1550558.73999999
2015-06;Região de Saúde do Alentejo;5050.0;1300.0;211791.56
2015-07;Região de Saúde do Algarve;9241.0;847.0;268784.48
2015-09;Região de Saúde do Algarve;8470.0;831.0;251585.26
2015-09;Região de Saúde LVT;65241.0;6268.0;1370121.72
2015-10;Região de Saúde do Algarve;9582.0;825.0;270238.79
2015-10;Região de Saúde LVT;68415.0;6392.0;1427340.43
2016-01;Região de Saúde LVT;63623.0;6258.0;1344989.51
2016-02;Região de Saúde LVT;62511.0;6272.0;1311873.71
2016-04;Região de Saúde do Norte;83554.0;9428.0;1549679.22999999
2016-07;Região de Saúde do Norte;86255.0;9583.0;1606297.37999999
2016-08;Região de Saúde do Centro;34053.0;4357.0;796460.34
2016-09;Região de Saúde do Alentejo;6047.0;1348.0;239464.609999999
2016-10;Região de Saúde do Alentejo;6422.0;1387.0;248504.51
2016-11;Região de Saúde do Norte;87890.0;9782.0;1636001.32999999
2017-01;Região de Saúde LVT;65930.0;6478.0;1410006.02
2017-02;Região de Saúde do Centro;29349.0;4218.0;700480.59
2017-02;Região de Saúde do Algarve;7764.0;792.0;236921.25
2017-03;Região de Saúde do Norte;93606.0;9663.0;1746178.85999999
2017-03;Região de Saúde do Algarve;9197.0;864.0;272580.65
2017-04;Região de Saúde LVT;64087.0;6574.0;1367858.55
2017-04;Região de Saúde do Alentejo;6336.0;1572.0;250795.21
2017-05;Região de Saúde do Algarve;9509.0;887.0;272075.65
2017-06;Região de Saúde do Centro;33939.0;4455.0;790621.99
2017-07;Região de Saúde do Algarve;8866.0;899.0;262113.96
2017-08;Região de Saúde do Centro;33513.0;4355.0;788708.509999999
2017-09;Região de Saúde do Centro;34204.0;4300.0;784803.449999999
2017-12;Região de Saúde do Alentejo;8083.0;1735.0;290524.23
2018-03;Região de Saúde LVT;70464.0;6728.0;1557212.43
2018-03;Região de Saúde do Alentejo;7538.0;1766.0;277664.04
2018-04;Região de Saúde do Centro;32584.0;4504.0;742231.15
2018-05;Região de Saúde do Centro;35897.0;4648.0;821248.279999999
2018-06;Região de Saúde do Algarve;10287.0;1030.0;270166.66
2018-09;Região de Saúde do Alentejo;3961.0;901.0;149902.13
2018-11;Região de Saúde LVT;73408.0;7197.0;1645410.06
2018-12;Região de Saúde LVT;68146.0;6850.0;1538331.12999999
2019-01;Região de Saúde do Norte;97951.0;10592.0;1852742.41
2019-01;Região de Saúde do Centro;36936.0;5048.0;859727.69
2019-03;Região de Saúde LVT;72060.0;7013.0;1612228.06
2019-04;Região de Saúde do Centro;35660.0;4686.0;813364.05
2019-05;Região de Saúde do Centro;38229.0;5081.0;892261.66
2019-07;Região de Saúde do Norte;116311.0;11777.0;2138985.47
2019-11;Região de Saúde do Alentejo;3943.0;804.0;120021.07
2020-01;Região de Saúde do Alentejo;4511.0;890.0;136442.5
2020-02;Região de Saúde LVT;70186.0;6994.0;1661783.18
2020-04;Região de Saúde do Alentejo;2272.0;380.0;96697.8
2020-05;Região de Saúde do Algarve;5134.0;518.0;188442.89
2020-06;Região de Saúde do Norte;41888.0;4736.0;1149356.77
2020-06;Região de Saúde LVT;54820.0;5061.0;1690434.40999999
2020-06;Região de Saúde do Algarve;5668.0;594.0;205995.28
2020-07;Região de Saúde LVT;59881.0;5340.0;1850858.63
2020-07;Região de Saúde do Alentejo;3310.0;579.0;133818.87
2020-08;Região de Saúde do Norte;63101.0;6313.0;1613556.38
2020-08;Região de Saúde LVT;59785.0;5424.0;1862778.81
2020-08;Região de Saúde do Algarve;6248.0;642.0;218765.92
2020-10;Região de Saúde do Alentejo;3123.0;565.0;132454.74
2020-11;Região de Saúde do Norte;70029.0;6753.0;1831819.25
2021-01;Região de Saúde LVT;59358.0;5382.0;1931652.15
2021-02;Região de Saúde LVT;52774.0;5109.0;1772811.17
2021-02;Região de Saúde do Algarve;5503.0;579.0;180024.82
2021-03;Região de Saúde do Norte;74017.0;6582.0;1858364.96
2021-03;Região de Saúde do Centro;27301.0;3285.0;794602.35
2021-04;Região de Saúde do Centro;27485.0;3495.0;795205.35
2021-04;Região de Saúde do Algarve;6433.0;641.0;203060.75
2021-05;Região de Saúde do Centro;28090.0;3651.0;817712.07
2021-08;Região de Saúde do Norte;87981.0;8325.0;2209240.15
2021-09;Região de Saúde do Centro;31559.0;4049.0;885716.06
2021-10;Região de Saúde do Centro;30833.0;4027.0;850589.16
2021-11;Região de Saúde do Norte;93408.0;9219.0;2250135.43
2021-12;Região de Saúde do Norte;85471.0;8768.0;2117358.12
2021-12;Região de Saúde do Algarve;6196.0;633.0;198904.52
2022-02;Região de Saúde do Alentejo;3071.0;573.0;100745.69
2022-03;Região de Saúde do Centro;35265.0;4317.0;966299.5
2022-04;Região de Saúde do Centro;30012.0;4000.0;841010.91
2022-04;Região de Saúde do Alentejo;3288.0;625.0;105239.41
2022-05;Região de Saúde do Norte;97630.0;9445.0;2458032.79
2022-08;Região de Saúde do Norte;93719.0;9346.0;2879128.27
2022-08;Região de Saúde do Algarve;6904.0;682.0;265231.21
2022-09;Região de Saúde do Norte;102367.0;9820.0;2560314.37
2022-10;Região de Saúde do Centro;32711.0;4262.0;976417.079999999
2022-11;Região de Saúde do Norte;99592.0;9989.0;2554590.51
2022-11;Região de Saúde do Algarve;7360.0;751.0;239819.23
2023-01;Região de Saúde do Centro;33641.0;4365.0;1010784.13
2023-01;Região de Saúde do Algarve;7353.0;743.0;228182.34
2023-03;Região de Saúde do Norte;107011.0;10378.0;2738305.4
2023-07;Região de Saúde do Centro;33579.0;4278.0;1073295.88
2023-08;Região de Saúde LVT;69976.0;6564.0;2677035.38
2023-09;Região de Saúde do Norte;102496.0;10543.0;2739237.84
2023-10;Região de Saúde do Centro;33734.0;4357.0;1067710.24999999
2023-10;Região de Saúde do Alentejo;4481.0;647.0;151828.96
2023-11;Região de Saúde LVT;74347.0;7008.0;2774479.6
2023-11;Região de Saúde do Alentejo;4098.0;603.0;144478.44
2024-02;Região de Saúde do Algarve;7130.0;745.0;224193.37
2024-04;Região de Saúde LVT;69954.0;6693.0;2623110.77999999
2024-04;Região de Saúde do Algarve;7162.0;749.0;226807.32
2024-07;Região de Saúde do Algarve;820.0;820.0;254820.87
2024-08;Região de Saúde LVT;70081.0;6671.0;2650775.36999999
2024-08;Região de Saúde do Alentejo;6816.0;1548.0;278239.26
2024-09;Região de Saúde do Norte;109055.0;11117.0;2832737.47
2024-09;Região de Saúde do Centro;31125.0;4068.0;1000902.98
2024-10;Região de Saúde LVT;75861.0;7018.0;2900551.57999999
2024-10;Região de Saúde do Algarve;7615.0;751.0;247320.38
2024-12;Região de Saúde do Algarve;6273.0;693.0;216789.92
2014-01;Região de Saúde do Alentejo;4405.0;709.0;198221.24
2014-03;Região de Saúde do Algarve;7276.0;717.0;218442.49
2014-04;Região de Saúde do Algarve;7175.0;709.0;212904.72
2014-06;Região de Saúde do Centro;30830.0;4120.0;700356.96
2014-07;Região de Saúde do Norte;89610.0;8954.0;1527907.74999999
2014-07;Região de Saúde do Alentejo;4632.0;700.0;201569.61
2014-08;Região de Saúde LVT;60321.0;5886.0;1238907.68
2014-09;Região de Saúde do Alentejo;4532.0;735.0;198402.33
2014-11;Região de Saúde do Alentejo;4828.0;1237.0;224128.0
2014-12;Região de Saúde do Norte;72333.0;8245.0;1340328.10999999
2014-12;Região de Saúde do Centro;29244.0;3865.0;698421.449999999
2015-01;Região de Saúde do Centro;26950.0;3975.0;662879.77
2015-02;Região de Saúde do Norte;71657.0;8330.0;1327186.48999999
2015-02;Região de Saúde do Alentejo;4968.0;1360.0;207188.49
2015-03;Região de Saúde LVT;61312.0;5929.0;1301724.6
2015-04;Região de Saúde do Centro;29799.0;3932.0;706386.95
2015-04;Região de Saúde LVT;61892.0;5948.0;1297945.63
2015-05;Região de Saúde do Alentejo;5043.0;1356.0;210772.55
2015-07;Região de Saúde do Norte;89636.0;9280.0;1631961.06999999
2015-08;Região de Saúde do Alentejo;4519.0;1137.0;183450.55
2015-08;Região de Saúde do Algarve;9006.0;823.0;263847.03
2015-08;Região de Saúde do Centro;30840.0;3903.0;703217.96
2015-08;Região de Saúde LVT;61727.0;5985.0;1291575.31
2015-09;Região de Saúde do Centro;32513.0;4043.0;726773.64
2015-11;Região de Saúde do Centro;31864.0;4297.0;736538.0
2015-12;Região de Saúde LVT;65020.0;6205.0;1363007.12
2016-02;Região de Saúde do Alentejo;4957.0;1341.0;198886.56
2016-02;Região de Saúde do Algarve;7994.0;783.0;221034.02
2016-02;Região de Saúde do Centro;29416.0;4164.0;695446.8
2016-03;Região de Saúde do Alentejo;5368.0;1367.0;214875.63
2016-04;Região de Saúde do Alentejo;5153.0;1296.0;204726.62
2016-04;Região de Saúde LVT;66011.0;6387.0;1382396.59
2016-05;Região de Saúde do Centro;32782.0;4427.0;758722.54
2016-05;Região de Saúde LVT;66500.0;6516.0;1392986.32
2016-05;Região de Saúde do Alentejo;4682.0;1234.0;206857.35
2016-09;Região de Saúde do Norte;85576.0;9331.0;1600068.63999999
2016-09;Região de Saúde do Centro;33531.0;4455.0;783206.17
2016-10;Região de Saúde do Norte;87358.0;9834.0;1618918.68999999
2016-10;Região de Saúde do Centro;33433.0;4544.0;781262.36
2016-10;Região de Saúde LVT;64897.0;6365.0;1383769.57
2016-11;Região de Saúde LVT;65369.0;6353.0;1372191.82
2016-11;Região de Saúde do Alentejo;6687.0;1525.0;259231.42
2016-11;Região de Saúde do Algarve;7973.0;753.0;234299.68
2016-12;Região de Saúde LVT;64202.0;6164.0;1354428.19
2017-01;Região de Saúde do Centro;31895.0;4623.0;779452.02
2017-03;Região de Saúde do Alentejo;7534.0;1697.0;290916.52
2017-04;Região de Saúde do Algarve;7961.0;849.0;238708.99
2017-05;Região de Saúde LVT;70695.0;6752.0;1520068.14
2017-06;Região de Saúde do Norte;91444.0;9883.0;1681842.09999999
