RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO
1,5,79,4,1,7,1,4119,1,1,100,85,135,2005,1,3,16,965,1
1,5,80,4,1,11,1,4119,1,1,130,86,130,2005,1,3,19,1140,2
1,1,5,1,1,6,1,4119,1,1,320,38,1060,2005,1,3,20,1200,2
3,24,81,3,2,7,4,4119,1,1,350,87,540,2005,1,4,7,420,3
3,5,10,6,2,10,4,4119,1,1,350,30,554,2005,1,4,10,646,3
1,5,3,2,1,11,1,4119,1,1,100,3,135,2005,1,4,13,780,1
3,21,20,6,2,8,4,4119,1,1,190,22,240,2005,1,4,14,870,1
1,5,10,2,1,3,1,4119,1,1,320,6,280,2005,1,4,14,890,1
1,5,82,2,1,4,1,4119,1,1,15,88,30,2005,1,4,16,960,1
3,5,20,13,2,7,4,4119,1,1,120,22,210,2005,1,4,16,990,1
1,5,83,2,1,3,1,4119,1,1,140,89,135,2005,1,4,20,1215,2
3,5,20,5,1,4,4,4119,1,1,120,22,235,2005,1,4,17,1045,1
1,5,84,4,1,1,1,4119,1,2,76,90,1285,2005,1,4,22,1345,2
1,5,85,4,1,1,1,4119,1,2,76,90,1285,2005,1,4,22,1345,2
1,5,10,4,1,1,1,4119,1,1,330,6,325,2005,1,5,10,600,3
1,5,86,4,1,2,1,4119,1,1,150,91,185,2005,1,5,10,655,3
1,5,87,4,1,2,1,4119,1,1,127,92,175,2005,1,5,14,875,1
1,5,88,4,1,1,1,4119,1,1,330,6,375,2005,1,5,16,975,1
1,5,35,4,1,1,1,4119,1,1,330,6,375,2005,1,5,16,975,1
1,5,89,4,1,14,1,4119,1,2,47,93,105,2005,1,5,17,1020,1
1,5,35,4,2,12,1,4119,1,1,5,6,20,2005,1,5,17,1060,1
1,5,90,11,2,12,1,4119,1,1,40,94,40,2005,1,5,18,1080,1
1,1,91,4,1,2,1,4119,1,1,105,95,125,2005,1,5,20,1245,2
1,5,5,1,1,6,1,4119,1,1,320,6,1115,2005,1,5,20,1200,2
2,5,6,4,1,3,1,4119,1,1,18,7,65,2005,1,5,21,1315,2
1,5,92,4,1,3,1,4119,1,1,320,24,320,2005,1,6,10,600,3
1,5,10,4,1,3,1,4119,1,1,320,24,320,2005,1,6,10,600,3
1,5,10,4,1,11,1,4119,1,1,340,14,1070,2005,1,6,19,1160,2
1,5,5,3,2,11,1,4119,1,1,340,14,1070,2005,1,6,19,1160,2
1,5,81,3,2,10,1,4119,1,1,330,18,419,2005,1,0,7,421,3
3,25,20,13,2,8,2,4119,1,1,120,53,279,2005,1,0,8,501,3
3,5,11,3,2,4,4,4119,1,1,10,7,30,2005,1,0,8,530,3
5,5,73,5,2,7,1,4119,1,1,350,77,300,2005,1,0,9,570,3
1,5,10,4,2,12,1,4119,1,1,320,38,365,2005,1,0,11,715,3
3,21,20,6,2,8,2,4119,1,1,190,22,200,2005,1,0,14,870,1
1,5,9,4,1,7,1,4119,1,1,20,10,55,2005,1,0,15,905,1
3,5,20,13,2,9,4,4119,1,1,120,22,220,2005,1,0,16,980,1
1,5,93,4,1,1,2,4119,1,1,100,96,110,2005,1,0,17,1020,1
3,5,20,14,1,3,2,4119,1,1,120,22,210,2005,1,0,17,1020,1
1,5,10,4,1,3,1,4119,1,1,330,73,510,2005,1,1,7,420,3
1,5,10,4,1,7,1,4119,1,1,330,73,360,2005,1,1,7,420,3
1,5,88,4,1,1,1,4119,1,1,420,97,675,2005,1,1,8,480,3
1,5,88,4,1,1,1,4119,1,1,420,97,675,2005,1,1,8,480,3
1,5,10,4,1,10,2,4119,1,1,330,6,366,2005,1,1,10,654,3
1,5,94,4,1,2,2,4119,1,1,120,98,170,2005,1,1,13,800,1
3,5,20,6,2,9,2,4119,1,1,130,22,355,2005,1,1,13,805,1
3,5,20,6,1,9,2,4119,1,1,130,22,355,2005,1,1,13,805,1
1,5,3,4,1,2,1,4119,1,1,91,55,165,2005,1,1,16,1005,1
1,5,95,4,1,3,1,4119,1,1,173,99,165,2005,1,1,20,1200,2
1,5,96,4,1,11,1,4119,1,1,115,100,1314,2005,1,1,22,1324,2
3,5,10,5,2,1,4,4119,1,1,360,38,405,2005,1,2,6,390,4
1,5,10,4,1,9,1,4119,1,1,323,101,450,2005,1,2,7,420,3
3,25,20,13,2,8,2,4119,1,1,210,102,330,2005,1,2,8,480,3
3,5,20,6,2,9,2,4119,1,1,210,102,330,2005,1,2,8,480,3
1,5,97,4,1,2,1,4119,1,1,32,103,63,2005,1,2,11,717,3
1,1,29,4,1,7,1,4119,1,1,130,33,140,2005,1,2,12,760,3
3,5,20,6,2,3,4,4119,1,1,120,22,205,2005,1,2,17,1035,1
1,5,10,4,1,1,1,4119,1,1,323,6,1015,2005,1,2,17,1045,1
1,5,98,4,1,11,1,4119,1,1,40,104,60,2005,1,2,20,1200,2
1,5,99,15,1,11,1,4119,1,1,60,105,79,2005,1,2,21,1261,2
1,26,100,4,2,11,1,4119,1,1,100,106,1345,2005,1,2,23,1415,2
2,5,5,5,2,12,4,4119,1,1,320,30,240,2005,1,3,6,360,4
1,5,12,4,1,11,1,4119,1,1,210,13,450,2005,1,3,7,420,3
1,5,12,16,2,11,1,4119,1,1,210,13,450,2005,1,3,7,420,3
3,5,10,5,2,9,3,4119,1,1,320,6,575,2005,1,3,7,420,3
1,5,12,4,1,7,1,4119,1,1,220,13,290,2005,1,3,7,430,3
1,5,101,4,1,7,1,4119,1,1,210,107,195,2005,1,3,12,735,3
1,5,102,4,1,3,2,4119,1,2,190,108,163,2005,1,3,19,1142,2
1,5,5,4,2,12,2,4119,1,1,333,18,1055,2005,1,3,17,1055,1
1,1,34,16,2,12,2,4119,1,1,333,18,1055,2005,1,3,17,1055,1
1,5,103,4,1,11,1,4119,1,1,160,109,165,2005,1,3,20,1225,2
3,5,36,3,2,10,4,4119,1,1,330,18,569,2005,1,4,7,451,3
